"EPA Registration Number","Active Ingredient(s)","Product Name","Company","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Why is this product on List N?","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following pathogen(s)","Date Added to List N"
"91176-2","1,2-Hexanediol","PELS 422","The Gilla Company LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","04/23/2020"
"9150-3","Chlorine dioxide","Carnebon 200","International Dioxcide Inc","15","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","05/14/2020"
"87492-1","Chlorine dioxide","Electro-Biocide","Strategic Resource Optimization Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/23/2020"
"9804-1","Chlorine dioxide","Oxine","Bio-Cide International Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","04/09/2020"
"9150-2","Chlorine dioxide","Anthium Dioxcide","International Dioxcide Inc","15","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","04/09/2020"
"9150-11","Chlorine dioxide; Quaternary ammonium","Cryocide™ 20","International Dioxcide Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"71700-2","Chlorine dioxide; Quaternary ammonium","SNiPER","Global Environmental Restoration Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","04/09/2020"
"82972-1","Chlorine dioxide; Quaternary ammonium","Vital Oxide","Vital Solutions LLC","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Canine parvovirus","03/26/2020"
"34810-37","Citric acid","Wexford Disinfectant Wipes","Wexford Labs Inc","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/14/2020"
"75277-2","Citric acid","Freak","Method Products Inc","10","Ready-to-use","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/14/2020"
